molecule,communityId
NM_001025088,1
NM_001025089,1
NM_001025090,1
NM_001025092,1
NM_001025100,1
NM_001025101,1
NM_001025105,1
NM_001025108,1
NM_001025158,1
NM_001025159,1
NM_001025205,1
NM_001025234,1
NM_001025236,1
NM_001025237,1
NM_001025238,1
NM_001025239,1
NM_001025242,1
NM_001025243,1
NM_001025252,1
NM_001025253,1
NM_001025266,1
NM_001025300,1
NM_001025356,1
NM_001025366,1
NM_001025367,1
NM_001025368,1
NM_001025369,1
NM_001025370,1
NM_001025580,1
NM_001025593,1
NM_001025595,1
NM_001025616,1
NM_001029858,1
NM_001029859,1
NM_001029860,1
NM_001029863,1
NM_001029864,1
NM_001029871,1
NM_001029880,1
NM_001029882,1
NM_001029883,1
NM_001029884,1
NM_001029955,1
NM_001029997,1
NM_001029998,1
NM_001030003,1
NM_001030004,1
NM_001030006,1
NM_001030007,1
NM_001030009,1
NM_001030010,1
NM_001030055,1
NM_001030060,1
NM_001030273,1
NM_001031623,1
NM_001031679,1
NM_001031680,1
NM_001031683,1
NM_001031689,1
NM_001031690,1
NM_001031695,1
NM_001031700,1
NM_001031701,1
NM_001031702,1
NM_001031703,1
NM_001031705,1
NM_001031709,1
NM_001031710,1
NM_001031711,1
NM_001031713,1
NM_001031715,1
NM_001031716,1
NM_001031721,1
NM_001031723,1
NM_001031726,1
NM_001031727,1
NM_001031732,1
NM_001031733,1
NM_001031738,1
NM_001031741,1
NM_001031746,1
NM_001031749,1
NM_001031800,1
NM_001031801,1
NM_001031804,1
NM_001031812,1
NM_001031835,1
NM_001031836,1
NM_001031847,1
NM_001031848,1
NM_001031853,1
NM_001031855,1
NM_001032221,1
NM_001032280,1
NM_001032281,1
NM_001032282,1
NM_001032288,1
NM_001032293,1
NM_001032296,1
NM_001032363,1
NM_001032372,1
NM_001032373,1
NM_001032392,1
NM_001032394,1
NM_001032395,1
NM_001032731,1
NM_001032999,1
NM_001033,1
NM_001033002,1
NM_001033025,1
NM_001033026,1
NM_001033044,1
NM_001033045,1
NM_001033047,1
NM_001033056,1
NM_001033057,1
NM_001033081,1
NM_001033082,1
NM_001033083,1
NM_001033087,1
NM_001033088,1
NM_001033117,1
NM_001033503,1
NM_001033504,1
NM_001033520,1
NM_001033551,1
NM_001033553,1
NM_001033554,1
NM_001033555,1
NM_001033559,1
NM_001033560,1
NM_001033561,1
NM_001033564,1
NM_001033566,1
NM_001033568,1
NM_001033575,1
NM_001033578,1
NM_001033602,1
NM_001033604,1
NM_001033605,1
NM_001033667,1
NM_001033714,1
NM_001033723,1
NM_001033756,1
NM_001033855,1
NM_001033857,1
NM_001033858,1
NM_001033925,1
NM_001034,1
NM_001034173,1
NM_001034832,1
NM_001034841,1
NM_001034852,1
NM_001034914,1
NM_001034954,1
NM_001034955,1
NM_001034956,1
NM_001034996,1
NM_001035,1
NM_001035005,1
NM_001035223,1
NM_001035230,1
NM_001035254,1
NM_001035505,1
NM_001035507,1
NM_001035511,1
NM_001035512,1
NM_001035513,1
NM_001035534,1
NM_001037,1
NM_001037126,1
NM_001037131,1
NM_001037132,1
NM_001037144,1
NM_001037163,1
NM_001037164,1
NM_001037165,1
NM_001037232,1
NM_001037283,1
NM_001037293,1
NM_001037317,1
NM_001037325,1
NM_001037331,1
NM_001037333,1
NM_001037334,1
NM_001037339,1
NM_001037340,1
NM_001037341,1
NM_001037343,1
NM_001037442,1
NM_001037501,1
NM_001037535,1
NM_001037536,1
NM_001037540,1
NM_001037553,1
NM_001037582,1
NM_001037631,1
NM_001037671,1
NM_001037808,1
NM_001037811,1
NM_001037866,1
NM_001037954,1
NM_001038603,1
NM_001038618,1
NM_001038628,1
NM_001038702,1
NM_001038704,1
NM_001038707,1
NM_001039,1
NM_001039029,1
NM_001039091,1
NM_001039111,1
NM_001039127,1
