from,to,commonMrnas
hsa-miR-665,hsa-miR-299-3p,199
hsa-miR-485-5p,hsa-miR-377-3p,198
hsa-miR-323a-3p,hsa-miR-134-5p,198
hsa-miR-377-3p,hsa-miR-485-5p,198
hsa-miR-134-5p,hsa-miR-323a-3p,198
hsa-miR-382-5p,hsa-miR-370-3p,197
hsa-miR-370-3p,hsa-miR-382-5p,197
hsa-miR-485-5p,hsa-miR-154-5p,197
hsa-miR-154-5p,hsa-miR-485-5p,197
hsa-miR-370-3p,hsa-miR-127-5p,195
hsa-miR-329-3p,hsa-miR-1197,195
hsa-miR-127-5p,hsa-miR-370-3p,195
hsa-miR-1197,hsa-miR-329-3p,195
hsa-miR-493-3p,hsa-miR-543,194
hsa-miR-543,hsa-miR-493-3p,194
hsa-miR-758-3p,hsa-miR-541-5p,194
hsa-miR-541-5p,hsa-miR-758-3p,194
hsa-miR-431-5p,hsa-miR-541-3p,192
hsa-miR-541-3p,hsa-miR-431-5p,192
hsa-miR-539-5p,hsa-miR-431-5p,191
hsa-miR-654-5p,hsa-miR-668-3p,191
hsa-miR-668-3p,hsa-miR-654-5p,191
hsa-miR-431-5p,hsa-miR-539-5p,191
hsa-miR-431-5p,hsa-miR-494-3p,190
hsa-miR-494-3p,hsa-miR-431-5p,190
hsa-miR-432-5p,hsa-miR-1197,190
hsa-miR-1197,hsa-miR-432-5p,190
hsa-miR-493-3p,hsa-miR-758-3p,188
hsa-miR-410-3p,hsa-miR-539-5p,188
hsa-miR-539-5p,hsa-miR-410-3p,188
hsa-miR-127-5p,hsa-miR-409-3p,188
hsa-miR-758-3p,hsa-miR-493-3p,188
hsa-miR-409-3p,hsa-miR-127-5p,188
hsa-miR-382-5p,hsa-miR-409-3p,187
hsa-miR-409-3p,hsa-miR-382-5p,187
hsa-miR-543,hsa-miR-154-5p,187
hsa-miR-154-5p,hsa-miR-543,187
hsa-miR-543,hsa-miR-487a-3p,186
hsa-miR-544a,hsa-miR-433-3p,186
hsa-miR-487a-3p,hsa-miR-543,186
hsa-miR-541-5p,hsa-miR-493-3p,186
hsa-miR-127-5p,hsa-miR-758-3p,186
hsa-miR-758-3p,hsa-miR-127-5p,186
hsa-miR-493-3p,hsa-miR-541-5p,186
hsa-miR-433-3p,hsa-miR-544a,186
hsa-miR-654-3p,hsa-miR-543,184
hsa-miR-543,hsa-miR-654-3p,184
hsa-miR-541-3p,hsa-miR-668-3p,181
hsa-miR-485-3p,hsa-miR-432-5p,181
hsa-miR-668-3p,hsa-miR-541-3p,181
hsa-miR-432-5p,hsa-miR-485-3p,181
hsa-miR-541-5p,hsa-miR-668-3p,180
hsa-miR-370-3p,hsa-miR-136-5p,180
hsa-miR-668-3p,hsa-miR-541-5p,180
hsa-miR-136-5p,hsa-miR-370-3p,180
hsa-miR-323a-3p,hsa-miR-494-3p,178
hsa-miR-494-3p,hsa-miR-323a-3p,178
hsa-miR-495-3p,hsa-miR-541-3p,178
hsa-miR-541-3p,hsa-miR-495-3p,178
hsa-miR-654-5p,hsa-miR-494-3p,177
hsa-miR-380-3p,hsa-miR-493-5p,177
hsa-miR-494-3p,hsa-miR-654-5p,177
hsa-miR-493-5p,hsa-miR-380-3p,177
hsa-miR-485-3p,hsa-miR-377-3p,176
hsa-miR-377-3p,hsa-miR-485-3p,176
hsa-miR-377-3p,hsa-miR-370-3p,175
hsa-miR-154-5p,hsa-miR-541-5p,175
hsa-miR-382-5p,hsa-miR-433-3p,175
hsa-miR-541-5p,hsa-miR-154-5p,175
hsa-miR-433-3p,hsa-miR-382-5p,175
hsa-miR-370-3p,hsa-miR-377-3p,175
hsa-miR-323a-3p,hsa-miR-541-5p,174
hsa-miR-541-5p,hsa-miR-323a-3p,174
hsa-miR-431-5p,hsa-miR-495-3p,173
hsa-miR-127-5p,hsa-miR-539-5p,173
hsa-miR-495-3p,hsa-miR-431-5p,173
hsa-miR-539-5p,hsa-miR-127-5p,173
hsa-miR-431-5p,hsa-miR-433-3p,172
hsa-miR-432-5p,hsa-miR-494-3p,172
hsa-miR-494-3p,hsa-miR-432-5p,172
hsa-miR-433-3p,hsa-miR-431-5p,172
hsa-miR-495-3p,hsa-miR-432-5p,171
hsa-miR-370-3p,hsa-miR-323a-3p,171
hsa-miR-323a-3p,hsa-miR-370-3p,171
hsa-miR-432-5p,hsa-miR-495-3p,171
hsa-miR-770-5p,hsa-miR-370-3p,170
hsa-miR-370-3p,hsa-miR-770-5p,170
hsa-miR-495-3p,hsa-miR-382-5p,169
hsa-miR-382-5p,hsa-miR-495-3p,169
hsa-miR-541-3p,hsa-miR-539-5p,168
hsa-miR-1197,hsa-miR-495-3p,168
hsa-miR-495-3p,hsa-miR-1197,168
hsa-miR-495-3p,hsa-miR-154-5p,168
hsa-miR-539-5p,hsa-miR-541-3p,168
hsa-miR-154-5p,hsa-miR-495-3p,168
hsa-miR-323a-3p,hsa-miR-409-3p,167
hsa-miR-409-3p,hsa-miR-323a-3p,167
hsa-miR-770-5p,hsa-miR-541-5p,166
hsa-miR-654-3p,hsa-miR-136-5p,166
hsa-miR-541-5p,hsa-miR-770-5p,166
hsa-miR-329-3p,hsa-miR-127-5p,166
hsa-miR-127-5p,hsa-miR-329-3p,166
hsa-miR-136-5p,hsa-miR-654-3p,166
hsa-miR-770-5p,hsa-miR-543,165
hsa-miR-543,hsa-miR-770-5p,165
hsa-miR-410-3p,hsa-miR-134-5p,165
hsa-miR-134-5p,hsa-miR-410-3p,165
hsa-miR-539-5p,hsa-miR-154-5p,164
hsa-miR-543,hsa-miR-1197,164
hsa-miR-654-5p,hsa-miR-382-5p,164
hsa-miR-154-5p,hsa-miR-539-5p,164
hsa-miR-1197,hsa-miR-543,164
hsa-miR-382-5p,hsa-miR-654-5p,164
hsa-miR-323a-3p,hsa-miR-495-3p,164
hsa-miR-495-3p,hsa-miR-323a-3p,164
hsa-miR-493-3p,hsa-miR-136-5p,163
hsa-miR-668-3p,hsa-miR-494-3p,163
hsa-miR-654-5p,hsa-miR-758-3p,163
hsa-miR-494-3p,hsa-miR-758-3p,163
hsa-miR-494-3p,hsa-miR-668-3p,163
hsa-miR-485-3p,hsa-miR-323a-3p,163
hsa-miR-758-3p,hsa-miR-654-5p,163
hsa-miR-758-3p,hsa-miR-494-3p,163
hsa-miR-323a-3p,hsa-miR-485-3p,163
hsa-miR-136-5p,hsa-miR-493-3p,163
hsa-miR-127-5p,hsa-miR-770-5p,162
hsa-miR-134-5p,hsa-miR-432-5p,162
hsa-miR-433-3p,hsa-miR-668-3p,162
hsa-miR-668-3p,hsa-miR-433-3p,162
hsa-miR-770-5p,hsa-miR-127-5p,162
hsa-miR-432-5p,hsa-miR-134-5p,162
hsa-miR-494-3p,hsa-miR-493-3p,161
hsa-miR-382-5p,hsa-miR-485-3p,161
hsa-miR-485-3p,hsa-miR-382-5p,161
hsa-miR-493-3p,hsa-miR-494-3p,161
hsa-miR-136-5p,hsa-miR-127-5p,160
hsa-miR-299-3p,hsa-miR-329-3p,160
hsa-miR-433-3p,hsa-miR-323a-3p,160
hsa-miR-329-3p,hsa-miR-299-3p,160
hsa-miR-541-3p,hsa-miR-485-3p,160
hsa-miR-154-5p,hsa-miR-758-3p,160
hsa-miR-485-3p,hsa-miR-541-3p,160
hsa-miR-127-5p,hsa-miR-136-5p,160
hsa-miR-758-3p,hsa-miR-154-5p,160
hsa-miR-323a-3p,hsa-miR-433-3p,160
hsa-miR-329-3p,hsa-miR-770-5p,158
hsa-miR-494-3p,hsa-miR-495-3p,158
hsa-miR-495-3p,hsa-miR-494-3p,158
hsa-miR-544a,hsa-miR-485-3p,158
hsa-miR-770-5p,hsa-miR-329-3p,158
hsa-miR-485-3p,hsa-miR-544a,158
hsa-miR-654-3p,hsa-miR-493-3p,157
hsa-miR-485-3p,hsa-miR-496,157
hsa-miR-493-3p,hsa-miR-654-3p,157
hsa-miR-496,hsa-miR-485-3p,157
hsa-miR-770-5p,hsa-miR-485-3p,156
hsa-miR-485-3p,hsa-miR-770-5p,156
hsa-miR-495-3p,hsa-miR-410-3p,156
hsa-miR-485-5p,hsa-miR-299-3p,156
hsa-miR-539-5p,hsa-miR-323a-3p,156
hsa-miR-323a-3p,hsa-miR-539-5p,156
hsa-miR-299-3p,hsa-miR-485-5p,156
hsa-miR-410-3p,hsa-miR-495-3p,156
hsa-miR-410-3p,hsa-miR-758-3p,155
hsa-miR-539-5p,hsa-miR-654-5p,155
hsa-miR-376c-3p,hsa-miR-543,155
hsa-miR-382-5p,hsa-miR-758-3p,155
hsa-miR-758-3p,hsa-miR-410-3p,155
hsa-miR-758-3p,hsa-miR-382-5p,155
hsa-miR-543,hsa-miR-376c-3p,155
hsa-miR-654-5p,hsa-miR-539-5p,155
hsa-miR-539-5p,hsa-miR-299-3p,154
hsa-miR-299-3p,hsa-miR-539-5p,154
hsa-miR-493-3p,hsa-miR-541-3p,153
hsa-miR-495-3p,hsa-miR-654-5p,153
hsa-miR-541-3p,hsa-miR-136-5p,153
hsa-miR-541-3p,hsa-miR-493-3p,153
hsa-miR-541-5p,hsa-miR-382-5p,153
hsa-miR-654-5p,hsa-miR-495-3p,153
hsa-miR-382-5p,hsa-miR-541-5p,153
hsa-miR-136-5p,hsa-miR-541-3p,153
hsa-miR-493-3p,hsa-miR-668-3p,152
hsa-miR-668-3p,hsa-miR-493-3p,152
hsa-miR-134-5p,hsa-miR-544a,152
hsa-miR-654-5p,hsa-miR-431-5p,152
hsa-miR-654-5p,hsa-miR-485-3p,152
hsa-miR-544a,hsa-miR-134-5p,152
hsa-miR-541-5p,hsa-miR-1197,152
hsa-miR-1197,hsa-miR-541-5p,152
hsa-miR-431-5p,hsa-miR-654-5p,152
hsa-miR-485-3p,hsa-miR-654-5p,152
hsa-miR-770-5p,hsa-miR-432-5p,151
hsa-miR-154-5p,hsa-miR-370-3p,151
hsa-miR-432-5p,hsa-miR-770-5p,151
hsa-miR-370-3p,hsa-miR-154-5p,151
hsa-miR-758-3p,hsa-miR-136-5p,150
hsa-miR-136-5p,hsa-miR-758-3p,150
hsa-miR-323a-3p,hsa-miR-136-5p,149
hsa-miR-409-3p,hsa-miR-1197,149
hsa-miR-136-5p,hsa-miR-323a-3p,149
hsa-miR-541-3p,hsa-miR-770-5p,149
hsa-miR-299-3p,hsa-miR-134-5p,149
hsa-miR-1197,hsa-miR-409-3p,149
hsa-miR-770-5p,hsa-miR-541-3p,149
hsa-miR-134-5p,hsa-miR-299-3p,149
hsa-miR-134-5p,hsa-miR-496,149
hsa-miR-496,hsa-miR-134-5p,149
hsa-miR-485-5p,hsa-miR-770-5p,148
hsa-miR-134-5p,hsa-miR-431-5p,148
hsa-miR-127-5p,hsa-miR-410-3p,148
hsa-miR-410-3p,hsa-miR-127-5p,148
hsa-miR-770-5p,hsa-miR-485-5p,148
hsa-miR-431-5p,hsa-miR-134-5p,148
hsa-miR-377-3p,hsa-miR-329-3p,147
hsa-miR-329-3p,hsa-miR-377-3p,147
hsa-miR-432-5p,hsa-miR-409-3p,146
hsa-miR-493-3p,hsa-miR-485-3p,146
hsa-miR-409-3p,hsa-miR-432-5p,146
hsa-miR-136-5p,hsa-miR-494-3p,146
hsa-miR-654-5p,hsa-miR-770-5p,146
hsa-miR-770-5p,hsa-miR-654-5p,146
hsa-miR-485-3p,hsa-miR-493-3p,146
hsa-miR-494-3p,hsa-miR-136-5p,146
hsa-miR-409-3p,hsa-miR-431-5p,145
hsa-miR-136-5p,hsa-miR-410-3p,145
hsa-miR-410-3p,hsa-miR-136-5p,145
hsa-miR-299-3p,hsa-miR-485-3p,145
hsa-miR-431-5p,hsa-miR-409-3p,145
hsa-miR-485-3p,hsa-miR-299-3p,145
hsa-miR-494-3p,hsa-miR-409-3p,144
hsa-miR-134-5p,hsa-miR-382-5p,144
hsa-miR-496,hsa-miR-485-5p,144
hsa-miR-382-5p,hsa-miR-134-5p,144
hsa-miR-409-3p,hsa-miR-494-3p,144
hsa-miR-136-5p,hsa-miR-654-5p,144
hsa-miR-485-5p,hsa-miR-496,144
hsa-miR-539-5p,hsa-miR-544a,144
hsa-miR-654-5p,hsa-miR-136-5p,144
hsa-miR-544a,hsa-miR-539-5p,144
hsa-miR-496,hsa-miR-381-3p,143
hsa-miR-381-3p,hsa-miR-496,143
hsa-miR-410-3p,hsa-miR-493-3p,143
hsa-miR-493-3p,hsa-miR-410-3p,143
hsa-miR-654-3p,hsa-miR-758-3p,142
hsa-miR-758-3p,hsa-miR-654-3p,142
hsa-miR-1197,hsa-miR-770-5p,140
hsa-miR-770-5p,hsa-miR-1197,140
hsa-miR-376c-3p,hsa-miR-381-3p,140
hsa-miR-381-3p,hsa-miR-376c-3p,140
hsa-miR-381-3p,hsa-miR-655-3p,139
hsa-miR-655-3p,hsa-miR-381-3p,139
hsa-miR-487a-3p,hsa-miR-495-3p,139
hsa-miR-495-3p,hsa-miR-487a-3p,139
hsa-miR-433-3p,hsa-miR-654-5p,137
hsa-miR-654-5p,hsa-miR-433-3p,137
hsa-miR-370-3p,hsa-miR-487a-3p,137
hsa-miR-494-3p,hsa-miR-382-5p,137
hsa-miR-487a-3p,hsa-miR-370-3p,137
hsa-miR-382-5p,hsa-miR-494-3p,137
hsa-miR-323a-3p,hsa-miR-668-3p,136
hsa-miR-410-3p,hsa-miR-494-3p,136
hsa-miR-433-3p,hsa-miR-380-3p,136
hsa-miR-380-3p,hsa-miR-433-3p,136
hsa-miR-668-3p,hsa-miR-323a-3p,136
hsa-miR-770-5p,hsa-miR-154-5p,136
hsa-miR-154-5p,hsa-miR-770-5p,136
hsa-miR-494-3p,hsa-miR-410-3p,136
hsa-miR-127-5p,hsa-miR-431-5p,135
hsa-miR-382-5p,hsa-miR-154-5p,135
hsa-miR-431-5p,hsa-miR-127-5p,135
hsa-miR-154-5p,hsa-miR-382-5p,135
hsa-miR-134-5p,hsa-miR-127-5p,134
hsa-miR-127-5p,hsa-miR-134-5p,134
hsa-miR-539-5p,hsa-miR-668-3p,134
hsa-miR-377-3p,hsa-miR-410-3p,134
hsa-miR-410-3p,hsa-miR-377-3p,134
hsa-miR-410-3p,hsa-miR-382-5p,134
hsa-miR-127-5p,hsa-miR-668-3p,134
hsa-miR-127-5p,hsa-miR-1197,134
hsa-miR-382-5p,hsa-miR-410-3p,134
hsa-miR-668-3p,hsa-miR-539-5p,134
hsa-miR-668-3p,hsa-miR-127-5p,134
hsa-miR-1197,hsa-miR-127-5p,134
hsa-miR-493-3p,hsa-miR-1197,133
hsa-miR-1197,hsa-miR-493-3p,133
hsa-miR-758-3p,hsa-miR-323a-3p,133
hsa-miR-323a-3p,hsa-miR-758-3p,133
hsa-miR-299-3p,hsa-miR-541-3p,132
hsa-miR-668-3p,hsa-miR-154-5p,132
hsa-miR-539-5p,hsa-miR-377-3p,132
hsa-miR-494-3p,hsa-miR-134-5p,132
hsa-miR-134-5p,hsa-miR-494-3p,132
hsa-miR-431-5p,hsa-miR-377-3p,132
hsa-miR-154-5p,hsa-miR-668-3p,132
hsa-miR-541-3p,hsa-miR-299-3p,132
hsa-miR-377-3p,hsa-miR-539-5p,132
hsa-miR-377-3p,hsa-miR-431-5p,132
hsa-miR-432-5p,hsa-miR-654-3p,131
hsa-miR-136-5p,hsa-miR-770-5p,131
hsa-miR-668-3p,hsa-miR-134-5p,131
hsa-miR-770-5p,hsa-miR-136-5p,131
hsa-miR-654-3p,hsa-miR-432-5p,131
hsa-miR-134-5p,hsa-miR-668-3p,131
hsa-miR-544a,hsa-miR-495-3p,130
hsa-miR-495-3p,hsa-miR-544a,130
hsa-miR-485-3p,hsa-miR-668-3p,130
hsa-miR-487a-3p,hsa-miR-433-3p,130
hsa-miR-433-3p,hsa-miR-487a-3p,130
hsa-miR-668-3p,hsa-miR-485-3p,130
hsa-miR-1197,hsa-miR-544a,129
hsa-miR-544a,hsa-miR-1197,129
hsa-miR-323a-3p,hsa-miR-431-5p,129
hsa-miR-487a-3p,hsa-miR-485-5p,129
hsa-miR-485-5p,hsa-miR-487a-3p,129
hsa-miR-485-5p,hsa-miR-376b-3p,129
hsa-miR-431-5p,hsa-miR-323a-3p,129
hsa-miR-376b-3p,hsa-miR-485-5p,129
hsa-miR-543,hsa-miR-299-3p,128
hsa-miR-299-3p,hsa-miR-543,128
hsa-miR-432-5p,hsa-miR-323a-3p,128
hsa-miR-323a-3p,hsa-miR-432-5p,128
hsa-miR-323a-3p,hsa-miR-1197,127
hsa-miR-1197,hsa-miR-323a-3p,127
hsa-miR-544a,hsa-miR-329-3p,127
hsa-miR-329-3p,hsa-miR-544a,127
hsa-miR-410-3p,hsa-miR-654-3p,126
hsa-miR-654-3p,hsa-miR-410-3p,126
hsa-miR-1197,hsa-miR-431-5p,125
hsa-miR-431-5p,hsa-miR-1197,125
hsa-miR-377-3p,hsa-miR-487a-3p,125
hsa-miR-493-3p,hsa-miR-299-3p,125
hsa-miR-493-3p,hsa-miR-487a-3p,125
hsa-miR-299-3p,hsa-miR-493-3p,125
hsa-miR-487a-3p,hsa-miR-493-3p,125
hsa-miR-487a-3p,hsa-miR-377-3p,125
hsa-miR-1197,hsa-miR-154-5p,124
hsa-miR-376b-3p,hsa-miR-493-5p,124
hsa-miR-154-5p,hsa-miR-409-3p,124
hsa-miR-154-5p,hsa-miR-1197,124
hsa-miR-409-3p,hsa-miR-154-5p,124
hsa-miR-329-3p,hsa-miR-668-3p,124
hsa-miR-493-5p,hsa-miR-376b-3p,124
hsa-miR-668-3p,hsa-miR-329-3p,124
hsa-miR-493-3p,hsa-miR-377-3p,123
hsa-miR-299-3p,hsa-miR-432-5p,123
hsa-miR-668-3p,hsa-miR-758-3p,123
hsa-miR-758-3p,hsa-miR-668-3p,123
hsa-miR-758-3p,hsa-miR-496,123
hsa-miR-496,hsa-miR-758-3p,123
hsa-miR-432-5p,hsa-miR-299-3p,123
hsa-miR-377-3p,hsa-miR-493-3p,123
hsa-miR-154-5p,hsa-miR-329-3p,123
hsa-miR-329-3p,hsa-miR-154-5p,123
hsa-miR-134-5p,hsa-miR-380-3p,122
hsa-miR-432-5p,hsa-miR-376c-3p,122
hsa-miR-382-5p,hsa-miR-668-3p,122
hsa-miR-299-3p,hsa-miR-654-5p,122
hsa-miR-380-3p,hsa-miR-134-5p,122
hsa-miR-668-3p,hsa-miR-382-5p,122
hsa-miR-376c-3p,hsa-miR-432-5p,122
hsa-miR-654-5p,hsa-miR-299-3p,122
hsa-miR-654-5p,hsa-miR-493-3p,121
hsa-miR-758-3p,hsa-miR-1197,121
hsa-miR-493-3p,hsa-miR-654-5p,121
hsa-miR-1197,hsa-miR-758-3p,121
hsa-miR-493-3p,hsa-miR-154-5p,120
hsa-miR-323a-3p,hsa-miR-154-5p,120
hsa-miR-495-3p,hsa-miR-770-5p,120
hsa-miR-770-5p,hsa-miR-495-3p,120
hsa-miR-154-5p,hsa-miR-323a-3p,120
hsa-miR-154-5p,hsa-miR-493-3p,120
hsa-miR-770-5p,hsa-miR-134-5p,119
hsa-miR-376b-3p,hsa-miR-381-3p,119
hsa-miR-376c-3p,hsa-miR-433-3p,119
hsa-miR-134-5p,hsa-miR-770-5p,119
hsa-miR-381-3p,hsa-miR-376b-3p,119
hsa-miR-382-5p,hsa-miR-323a-3p,119
hsa-miR-323a-3p,hsa-miR-382-5p,119
hsa-miR-433-3p,hsa-miR-376c-3p,119
hsa-miR-136-5p,hsa-miR-431-5p,118
hsa-miR-380-3p,hsa-miR-485-5p,118
hsa-miR-668-3p,hsa-miR-495-3p,118
hsa-miR-495-3p,hsa-miR-668-3p,118
hsa-miR-485-5p,hsa-miR-380-3p,118
hsa-miR-485-5p,hsa-miR-376c-3p,118
hsa-miR-541-5p,hsa-miR-376c-3p,118
hsa-miR-376a-3p,hsa-miR-493-5p,118
hsa-miR-770-5p,hsa-miR-758-3p,118
hsa-miR-431-5p,hsa-miR-136-5p,118
hsa-miR-376c-3p,hsa-miR-485-5p,118
hsa-miR-376c-3p,hsa-miR-541-5p,118
hsa-miR-758-3p,hsa-miR-770-5p,118
hsa-miR-493-5p,hsa-miR-376a-3p,118
