from,to
hsa-miR-134-5p,NM_004122
hsa-miR-134-5p,NM_004130
hsa-miR-134-5p,NM_004414
hsa-miR-134-5p,NM_004580
hsa-miR-134-5p,NM_004599
hsa-miR-134-5p,NM_004654
hsa-miR-134-5p,NM_005365
hsa-miR-134-5p,NM_005569
hsa-miR-134-5p,NM_006020
hsa-miR-134-5p,NM_006506
hsa-miR-134-5p,NM_006936
hsa-miR-134-5p,NM_007194
hsa-miR-134-5p,NM_009588
hsa-miR-134-5p,NM_012091
hsa-miR-134-5p,NM_014244
hsa-miR-134-5p,NM_014656
hsa-miR-134-5p,NM_015368
hsa-miR-134-5p,NM_016279
hsa-miR-134-5p,NM_016733
hsa-miR-134-5p,NM_018355
hsa-miR-134-5p,NM_019059
hsa-miR-134-5p,NM_019855
hsa-miR-134-5p,NM_021015
hsa-miR-134-5p,NM_021625
hsa-miR-134-5p,NM_021630
hsa-miR-134-5p,NM_022055
hsa-miR-134-5p,NM_022346
hsa-miR-134-5p,NM_022358
hsa-miR-134-5p,NM_022491
hsa-miR-134-5p,NM_022805
hsa-miR-134-5p,NM_022807
hsa-miR-134-5p,NM_022833
hsa-miR-134-5p,NM_024043
hsa-miR-134-5p,NM_024552
hsa-miR-134-5p,NM_024762
hsa-miR-134-5p,NM_024859
hsa-miR-134-5p,NM_024875
hsa-miR-134-5p,NM_024896
hsa-miR-134-5p,NM_025112
hsa-miR-134-5p,NM_031922
hsa-miR-134-5p,NM_032320
hsa-miR-134-5p,NM_032717
hsa-miR-134-5p,NM_032718
hsa-miR-134-5p,NM_032772
hsa-miR-134-5p,NM_032951
hsa-miR-134-5p,NM_032952
hsa-miR-134-5p,NM_032953
hsa-miR-134-5p,NM_032954
hsa-miR-134-5p,NM_080838
hsa-miR-134-5p,NM_133487
hsa-miR-134-5p,NM_138428
hsa-miR-134-5p,NM_139314
hsa-miR-134-5p,NM_144723
hsa-miR-134-5p,NM_145233
hsa-miR-134-5p,NM_145862
hsa-miR-134-5p,NM_153263
hsa-miR-134-5p,NM_175723
hsa-miR-134-5p,NM_176818
hsa-miR-134-5p,NM_176871
hsa-miR-134-5p,NM_182633
hsa-miR-134-5p,NM_183234
hsa-miR-134-5p,NM_183235
hsa-miR-134-5p,NM_183236
hsa-miR-134-5p,NM_194439
hsa-miR-134-5p,NM_198042
hsa-miR-134-5p,NM_198392
hsa-miR-134-5p,NM_199054
hsa-miR-134-5p,NM_213595
hsa-miR-134-5p,XM_005254576
hsa-miR-134-5p,XM_005274668
hsa-miR-134-5p,XM_011521220
hsa-miR-134-5p,XM_011521854
hsa-miR-134-5p,XM_011521856
hsa-miR-134-5p,XM_011529550
hsa-miR-134-5p,XM_011529693
hsa-miR-134-5p,XM_011542437
hsa-miR-134-5p,XM_017018515
hsa-miR-134-5p,XM_017022124
hsa-miR-134-5p,XM_017023355
hsa-miR-134-5p,XM_017027305
hsa-miR-134-5p,XM_047423897
hsa-miR-134-5p,XM_047429296
hsa-miR-134-5p,XM_047429346
hsa-miR-134-5p,XM_047429646
hsa-miR-134-5p,XM_047431799
hsa-miR-134-5p,XM_047434153
hsa-miR-134-5p,XM_047435111
hsa-miR-134-5p,XM_047440950
hsa-miR-134-5p,XM_047442771
hsa-miR-134-5p,XM_047442772
hsa-miR-134-5p,XM_047446093
hsa-miR-136-5p,NM_000578
hsa-miR-136-5p,NM_001001415
hsa-miR-136-5p,NM_001005368
hsa-miR-136-5p,NM_001006115
hsa-miR-136-5p,NM_001006932
hsa-miR-136-5p,NM_001009958
hsa-miR-136-5p,NM_001018058
hsa-miR-136-5p,NM_001024216
hsa-miR-136-5p,NM_001031702
hsa-miR-136-5p,NM_001037811
hsa-miR-136-5p,NM_001038618
hsa-miR-136-5p,NM_001079839
hsa-miR-136-5p,NM_001079842
hsa-miR-136-5p,NM_001085366
hsa-miR-136-5p,NM_001102402
hsa-miR-136-5p,NM_001113381
hsa-miR-136-5p,NM_001127380
hsa-miR-136-5p,NM_001128932
hsa-miR-136-5p,NM_001130047
hsa-miR-136-5p,NM_001130445
hsa-miR-136-5p,NM_001137673
hsa-miR-136-5p,NM_001144827
hsa-miR-136-5p,NM_001145465
hsa-miR-136-5p,NM_001145812
hsa-miR-136-5p,NM_001160708
